metric,f1,bacc,auc
Q1,0.5,0.47166195847573145,0.4984887694830209
Q2,0.6909667194928685,0.5247386689673161,0.577506470576433
Q3,0.7465857359635811,0.5583333333333333,0.5557716049382716
S1,0.8076398362892224,0.5275392360082913,0.5971276280722534
S2,0.780281690140845,0.5268363731223235,0.5336731810178039
S3,0.7956989247311828,0.5032232426704345,0.45065789473684215
S4,0.6901615271659325,0.4763708513708514,0.4163259579926247
